businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
['光谷'],武汉魅瞳科技有限公司,265439,魅瞳科技,15-50人,2019-09-19 11:58:56,东湖新技术开发区,本科,天使轮,数据服务,C++高级开发工程师,9k-16k
"['汉口火车站', '新华', '常青']",海致网络技术（北京）有限公司,134042,海致,150-500人,2019-09-05 11:18:51,江汉区,本科,C轮,"移动互联网,企业服务",前端开发,12k-16k
,行吟信息科技（上海）有限公司,6542,小红书,500-2000人,2019-09-19 15:52:34,东湖新技术开发区,本科,D轮及以上,消费生活,资深前端开发工程师,15k-30k
"['关山', '光谷']",武汉斗鱼网络科技有限公司,37236,斗鱼直播,2000人以上,2019-09-09 18:28:08,洪山区,本科,上市公司,文娱丨内容,安全开发工程师（武汉）(J10892),10k-20k
,北京神州绿盟信息安全科技股份有限公司,30648,绿盟科技,500-2000人,2019-09-19 13:59:59,东湖新技术开发区,本科,上市公司,信息安全,PHP开发工程师（WAF),15k-25k
,武汉心络科技有限公司,386227,武汉心络科技有限公司,50-150人,2019-09-19 09:26:09,东湖新技术开发区,硕士,未融资,"医疗丨健康,数据服务",算法工程师,20k-35k
,上海威士顿信息技术股份有限公司,67817,威士顿,150-500人,2019-09-20 11:11:27,东西湖区,本科,不需要融资,"移动互联网,企业服务",算法工程师,8k-12k
,北京小米科技有限责任公司,520,小米,2000人以上,2019-09-19 20:02:54,东西湖区,本科,D轮及以上,硬件,运维开发工程师(Devops),15k-30k
"['鲁巷', '关山', '光谷']",武汉卓讯互动信息科技有限公司,94332,卓讯互动,150-500人,2019-09-11 14:18:04,洪山区,本科,不需要融资,"移动互联网,游戏",ios开发工程师,7k-12k
"['关山', '光谷']",深圳比特屋网络有限公司,349229,时光小屋,15-50人,2019-09-20 19:44:07,洪山区,本科,B轮,移动互联网,前端开发工程师,13k-16k
,深圳市丰巢科技有限公司,26088,深圳市丰巢科技有限公司,500-2000人,2019-09-16 10:17:24,东湖新技术开发区,本科,A轮,消费生活,运维开发工程师-武汉,10k-18k
['光谷'],四川盛趣时代网络科技有限公司,56340,盛趣时代,150-500人,2019-09-20 13:22:41,洪山区,本科,不需要融资,"移动互联网,电商",Java大数据开发工程师,8k-15k
,卓尔智联集团有限公司,491975,卓尔智联集团有限公司,2000人以上,2019-09-20 11:16:49,黄陂区,本科,上市公司,"移动互联网,电商",运维开发工程师,6k-12k
"['关山', '光谷']",智线云科技（北京）有限公司,111175,ZingFront智线,50-150人,2019-09-19 09:09:15,洪山区,本科,A轮,"移动互联网,数据服务",高级Spider爬虫研发工程师,15k-20k
"['关山', '光谷']",北京金山办公软件股份有限公司,7835,金山办公软件,2000人以上,2019-09-17 09:08:02,洪山区,不限,上市公司,移动互联网,运维开发工程师（企业云）,15k-30k
,多点生活（中国）网络科技有限公司,72555,多点Dmall,500-2000人,2019-08-29 11:38:04,东湖新技术开发区,本科,C轮,"电商,消费生活",前端开发工程师,12k-24k
"['珞南', '广埠屯', '街道口']",北京百家互联科技有限公司,35361,跟谁学,2000人以上,2019-09-20 18:03:55,洪山区,本科,上市公司,"移动互联网,教育",算法工程师,15k-30k
['流芳'],北京小米科技有限责任公司,520,小米,2000人以上,2019-09-09 15:04:50,江夏区,本科,D轮及以上,硬件,Java开发工程师,18k-35k
,武汉今天梦想商贸有限公司,181025,武汉今天梦想商贸有限公司,500-2000人,2019-09-20 10:19:21,硚口区,本科,B轮,消费生活,机器学习/数据挖掘研发工程师,15k-30k
"['小东门', '积玉桥', '粮道街']",广州多益网络股份有限公司,589,多益网络,500-2000人,2019-09-19 10:02:29,武昌区,不限,不需要融资,"移动互联网,游戏",c++开发工程师,10k-18k
['光谷'],武汉泰坦智慧科技有限公司,251700,泰坦智慧,15-50人,2019-09-02 14:23:53,东湖新技术开发区,本科,不需要融资,"人工智能,企业服务",系统软件工程师,10k-16k
