businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
,成都冰鉴信息科技有限公司,364616,冰鉴科技,150-500人,2019-09-17 15:55:55,鼓楼区,硕士,B轮,"移动互联网,金融",NLP工程师/专家,15k-30k
"['铁心桥', '宁南']",江苏艾佳家居用品有限公司,47444,艾佳生活,150-500人,2019-09-17 10:33:16,雨花台区,本科,B轮,电商,测试工程师,12k-18k
['奥体'],南京慕琪信息科技有限公司,741196,慕琪信息,50-150人,2019-08-28 11:49:43,建邺区,本科,不需要融资,"电商,消费生活",运维工程师,18k-25k
"['安德门', '铁心桥']",广州希音供应链管理有限公司,492335,SHEIN,2000人以上,2019-09-20 20:01:55,雨花台区,本科,C轮,"电商,移动互联网",DBA (MJ001264),15k-30k
['尧化'],南京浦和数据有限公司,166659,浦和数据,50-150人,2019-09-20 14:31:16,栖霞区,不限,A轮,数据服务,解决方案经理,10k-20k
['宁南'],迪原创新（北京）科技有限公司南京分公司,81354,Dilato,150-500人,2019-09-17 18:12:15,雨花台区,本科,未融资,"移动互联网,企业服务",自动化测试工程师-NJ,10k-15k
['仙林'],禧涤智能（北京）科技有限公司,173129,禧涤智能,50-150人,2019-09-18 11:21:17,栖霞区,本科,A轮,"人工智能,硬件",运维工程师,6k-10k
['奥体'],杭州丈浔科技有限公司,66574,丈浔科技,50-150人,2019-09-18 09:15:35,建邺区,本科,未融资,"移动互联网,数据服务",数据挖掘工程师,15k-25k
"['安德门', '铁心桥']",南京易司拓电力科技股份有限公司,122630,易司拓,150-500人,2019-09-11 10:10:24,雨花台区,本科,上市公司,其他,ai工程师,10k-20k
"['南大', '华侨路', '珠江路']",博西家用电器投资（中国）有限公司,53028,B/S/H/ Group,2000人以上,2019-09-19 10:41:48,鼓楼区,本科,不需要融资,其他,大数据分析师 Big Data Analyst,15k-25k
['奥体'],北京比特大陆科技有限公司,21539,比特大陆,150-500人,2019-09-18 23:39:34,建邺区,本科,不需要融资,金融,项目交付工程师,14k-24k
