businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
,北京亿佰教育科技有限公司,102581,100课堂,150-500人,2019-09-21 10:32:21,高新区,本科,A轮,"移动互联网,教育",STEAM产品运营,6k-12k
,腾讯科技（深圳）有限公司,451,腾讯,2000人以上,2019-09-10 17:13:55,高新区,本科,上市公司,社交,php高级开发工程师,20k-40k
['龙泉'],四川国蓝中天环境科技集团有限公司,737394,国蓝中天,50-150人,2019-09-20 09:32:39,龙泉驿区,本科,未融资,数据服务、人工智能,nodejs后端工程师,9k-12k
,北京北森云计算股份有限公司,47323,北森云计算,500-2000人,2019-09-20 17:07:59,高新区,不限,上市公司,企业服务,2019测试开发（PPS/成都）(J12687),12k-18k
,北京联龙博通电子商务技术有限公司,17785,联龙博通,2000人以上,2019-09-20 10:06:12,高新区,本科,D轮及以上,"移动互联网,电商",自动化测试工程师成都,9k-16k
,苏州棱镜七彩信息科技有限公司,395761,棱镜七彩,15-50人,2019-09-21 09:37:00,高新区,本科,天使轮,信息安全,漏洞分析工程师,13k-25k
,北京创新数智科技有限公司,528171,创新数智,15-50人,2019-09-20 12:13:58,高新区,本科,不需要融资,数据服务,大数据高级开发工程师,15k-21k
,壹玖壹玖酒类平台科技股份有限公司,7334,1919酒类直供,2000人以上,2019-09-20 09:53:23,高新区,本科,上市公司,消费生活,高级数据开发工程师,12k-20k
,中建电子商务有限责任公司,122086,中建电商,150-500人,2019-09-20 11:26:58,高新区,大专,不需要融资,"移动互联网,电商",C#/.NET开发工程师,10k-17k
,北京智者天下科技有限公司,4128,知乎,500-2000人,2019-09-20 11:06:25,双流县,本科,D轮及以上,社交,NLP算法工程师,18k-25k
,OPPO广东移动通信有限公司,6927,OPPO,2000人以上,2019-09-18 17:49:33,武侯区,本科,不需要融资,硬件,OS内核及虚拟化开发工程师（成都）,15k-30k
"['创业路', '神仙树', '紫荆']",成都四方伟业软件股份有限公司,47102,四方伟业,500-2000人,2019-09-02 10:56:36,武侯区,本科,不需要融资,移动互联网,资深Web前端开发工程师,16k-26k
